"id_producto","categoria","precio","marca","id_tienda","ubicacion","tamano_tienda","id_cliente","edad_cliente","genero_cliente","tipo_cliente","id_promocion","tipo_promocion","descuento","fecha_venta","ventas"
"PROD415","Audio","229.4","Sony","STORE10","Miami","927","CUST385","27","Hombre","Regular","PROMO3","Regalo","0.12",2023-08-08,"3"
"PROD463","Smartphones","959.9","Apple","STORE12","Houston","2174.328","CUST781","74","Masculino","Regular","PROMO3","Descuento","0.42",2023-07-13,"4"
"PROD179","TVs","801.75","HP","6","Nueva York","959","CUST596","68 años","Femenino","Regular","PROMO6","Descuento","0.32",2023-09-13,"6"
"PROD14","Tablets","814.88","Samsung","20","San Francisco","359","CUST417","44","Masculino","Nuevo","PROMO5",NA,"0.27",2023-10-01,"8"
"PROD195","Accesorios","1399.08","Sony","STORE12","San Francisco","10268.856","CUST399","72 años","Femenino","Premium","PROMO6","Regalo","0.49",2023-07-24,"7"
"PROD426","Audio","463760","LG","3","San Francisco","357","CUST959","53","Masculino","Premium","PROMO2",NA,"15",2023-01-03,"9"
"PROD306","TVs","206.32","Bose","STORE40","Nueva York","242","CUST252","50","Masculino","Premium","PROMO8","Regalo","0.1",2023-04-05,"8"
"PROD118","Accesorios","1746.42","Lenovo","STORE46","Nueva York","137","CUST100","59","Femenino","Premium","PROMO3","Regalo","0.01",2023-04-01,"8"
"PROD299","Accesorios","$850.21","Dell","STORE46","Nueva York","459","CUST766","69","otro","Regular","PROMO8","Regalo","1.24",2023-07-22,"4"
"PROD229","Tablets","1045.07","Samsung","STORE30","Miami","793","CUST115","34","Femenino","Regular","PROMO4","Descuento","1.16",2023-02-13,"4"
"PROD244","Accesorios","1465.12","Sony","12","Los Ángeles","349","CUST493","1981-09-27","No especificado","Preuium","PROMO4",NA,"0.44",2023-10-09,"8"
"PROD14","Accesorios","1411.04","Lenovo","TND35","Los Ángeles","155","CUST945","76","Femenino","Premium","PROMO1",NA,"1.2",2023-08-15,"7"
"PROD374","Accesorios","408.94","Samsung","STORE47","San Francisco","562","CUST25","63","Masculino","Regolar","PROMO5","Regalo","0.19",2023-02-21,"-2"
